Main Port Name,Country Code,Latitude,Longitude
Mccord,United States,57.15,-153.2
Eastport,United States,44.9,-66.983333
Machiasport,United States,44.7,-67.4
Harbor Beach,United States,43.85,-82.65
Hertford,United States,36.183333,-76.466667
Nonopapa,United States,21.866667,-160.233333
Kamalo,United States,21.05,-156.883333
Hyannis,United States,41.65,-70.283333
Ocean City,United States,38.333333,-75.08333299999998
Norwich,United States,41.516667,-72.08333299999998
Mystic,United States,41.35,-71.966667
Noank,United States,41.316667,-71.983333
Montauk Harbor,United States,41.066667,-71.933333
Fairport,United States,41.766667,-81.29999999999998
Atlantic City,United States,39.366667,-74.416667
Gloucester,United States,42.6,-70.666667
Burlington,United States,40.083333,-74.866667
Davisville Depot,United States,41.616667,-71.4
Barnegat,United States,39.766667,-74.09999999999998
Fredericksburg,United States,38.3,-77.45
Bristol,United States,40.1,-74.84999999999998
Camas,United States,45.583333,-122.4
Klawock,United States,55.55,-133.1
Blaine,United States,49.0,-122.75
Craig,United States,55.466667,-133.15
Latouche,United States,60.0505,-147.9042
Coal Point,United States,59.6014,-151.4111
Three Saints Bay,United States,57.116667,-153.5
Union Bay,United States,55.766667,-132.216667
Port Orchard,United States,47.533333,-122.633333
Unalakleet,United States,63.883333,-160.783333
Shishmaref,United States,66.25,-166.083333
Rouge River,United States,42.283333,-83.116667
Port Angeles,United States,48.116667,-123.433333
Ward Cove,United States,55.4,-131.733333
Port Conclusion,United States,56.25,-134.683333
Vancouver,United States,45.633333,-122.683333
Port Hobron,United States,57.166667,-153.166667
Scituate,United States,42.2,-70.716667
Port Royal,United States,32.366667,-80.683333
Unga,United States,55.183333,-160.5
Pilot Point,United States,57.566667,-157.6
Port Alexander,United States,56.25,-134.65
Port Chilkoot,United States,59.233333,-135.433333
Savoonga,United States,63.683333,-170.4
Rockport,United States,45.2,-83.38333299999998
Port Armstrong,United States,56.3,-134.666667
Rose Inlet,United States,54.95,-132.966667
Port Heiden,United States,56.883333,-158.7
Port Ashton,United States,60.066667,-148.05
Skoot Cove,United States,52.716667,174.066667
Todd,United States,57.466667,-135.05
Washington,United States,35.55,-77.04999999999998
Ugashik,United States,57.533333,-157.416667
Yakutat,United States,59.55,-139.733333
